,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1477.9084136343163
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1015.456845957026
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4840.026177452965
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,949.5179114526829
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3092.5380027113147
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3159.713540311367
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1247.8417123681777
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6602.683104474137
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1228.3382244130396
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6551.222951664544
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,641.7933343462181
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,454.86527425477937
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,841.3609298280186
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,723.4493773846461
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,475.41814646525137
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,690.2613237640131
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,13813.974323088343
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5293.551428732944
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,8217.363646139003
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1128.5505469629418
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,948.9331533256195
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3940.763641859664
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1523.9511120130549
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4552.157483765706
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,7397.777874976135
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,535.7495494828228
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2894.4109261576173
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11348.540249099355
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,417.5791932623844
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2155.953930494366
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5674.360034469943
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4263.693707705815
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1945.9841405357984
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1098.3750148847355
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4530.621952814567
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1516.9065766327478
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1628.6307480130197
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10386.196118517755
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,661.1966232708296
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1784.8995456629218
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6162.026389998573
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1000.6694256479888
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,633.3404003815867
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,665.372189893425
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6200.276308723698
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,525.969835426556
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,855.0528584395898
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3951.484973822776
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,611.7962628159781
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1548.0375051064545
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1467.9340883713749
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1371.9058937814991
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,919.3190239707897
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1250.714850340473
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,668.7204820659706
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3748.6611811302387
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2533.455944511225
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2216.972627626409
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,557.9105368243778
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2246.4497936319513
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3241.3817438217
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3779.0595331530944
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2340.526318152966
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10694.497283181452
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10335.075104194408
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1238.342102397044
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5399.7664338587065
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16960.926726656933
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7282.747157642373
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1150.6060555334932
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2653.021785208113
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5192.2215503362795
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5420.089117468489
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5346.004476393932
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2932.755975070119
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4757.59790579996
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,11621.35310717448
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1208.0913074990713
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,731.9219142046769
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,501.25192492459706
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,723.5768635305745
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2961.87991928007
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,815.1429414111361
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4930.469367011169
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1704.4532034535687
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,3013.20674049674
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1615.8631677499013
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,462.0405512420622
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1182.3262409362571
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6772.806555359394
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,628.3047379015269
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,981.0123437453999
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9086.703069357654
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4375.067689073737
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,754.3045088136377
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1413.731283600876
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6111.222930538749
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4407.26682211321
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2895.043790750823
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3134.906280370848
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,570.4266896562834
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5075.038233215632
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3339.0683252675044
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1270.2415516796093
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1122.1919398622383
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1597.1970753555734
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4058.885881851043
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4820.544842292176
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5104.086601026119
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3170.2822326992596
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3621.70162782679
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,635.0591057216817
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8742.408117431009
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,765.2645356974964
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5929.623891210717
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7072.221606688979
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,537.038400505191
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,902.168404502948
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2225.673223234404
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3752.85075880102
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3707.384605845348
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3453.9756037898046
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4594.057819773326
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2912.1491954558305
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1038.256939342088
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,744.3941643696023
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10942.902012797651
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6143.546446888582
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1524.3411021525314
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,579.2733120031957
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13206.487196741207
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11774.717925373407
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,669.3721073671163
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1367.876940436092
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5843.082724105723
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,672.4484018494525
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1823.3146585837512
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3430.757437440182
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1064.937647292517
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,777.0574024803602
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5612.449358554865
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8661.044262831487
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1852.9603197080526
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,817.2552416601897
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2105.286480844161
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4107.033326378637
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1397.9422977531249
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,3853.0296392229743
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5037.123668697279
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6231.696373919247
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16231.765469323791
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,12715.602357289921
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11629.15928779038
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,599.3143112724941
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2887.236081598098
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3266.474615865302
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,7488.709574553903
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1311.9271369607611
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2047.1683657695094
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5030.716263915681
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1568.6810859211603
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9526.155320694892
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1028.0622896331874
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9654.556240249174
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6591.653305603684
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,13396.726319935076
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2950.101431389164
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,962.1738356664039
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15469.233422095946
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,679.2404153745501
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1593.1255401488872
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3990.2916629430024
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4650.7891544382155
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6351.707867346067
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1361.16470426281
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1387.6093142573168
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4295.642967416433
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3408.953196406785
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2800.597191684057
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1351.7574079610295
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2844.953877094843
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3801.9117943094684
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5454.662657683246
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2641.9802873428735
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6864.278723877979
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2735.6564348383554
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6691.489818932851
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2437.237413797035
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3277.563648024292
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,15066.150830869381
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,977.990800971371
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3117.2698657987485
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3345.1610807404445
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,16370.568443335324
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2816.074128422791
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3030.764381367109
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,941.7188281915294
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,725.4741948562602
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,730.0842246329205
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6674.2312755483135
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,13188.52255018305
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4928.147636440144
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1231.8355810061837
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2676.3310853345806
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6178.642256335063
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2152.3748737599262
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,850.2784941063852
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,733.206929466501
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2228.897609975841
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7557.623359833136
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7345.2174797447715
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5230.615869692044
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,492.73787224522243
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,520.7249159164307
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1041.4593557661708
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2375.9668075133063
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1362.1779787625323
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,646.7297128257713
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5082.209088596542
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1298.2447831051118
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,7741.067864760143
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1454.8667032423616
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3230.8905747113995
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1254.9113949265507
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4176.06272676189
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,660.5240895286311
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4344.6410943430365
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7402.7224684128605
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3474.7879123606644
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5659.369781808881
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3682.744683730281
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1974.9315433381896
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3109.4359970109526
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,631.6254448179168
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2918.7740681809896
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6205.356537310264
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8057.526215595718
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8653.160745374897
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2373.156403927959
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1234.3636156045757
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1419.1027383708372
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1459.1888155605259
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,829.9249959912421
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1496.802585207568
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2622.640646330981
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9790.171996210614
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7506.38441097806
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5012.356854857904
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1189.7591189779816
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1197.5568727680125
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1079.4114045649237
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,671.3863675223778
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6104.246859148581
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1041.0540237963176
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1089.467559570248
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1379.914327928454
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,704.1568711683859
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11679.183558939665
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7263.469016602278
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5732.252790505399
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,11205.271871924593
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,872.4472473454392
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,19863.67366242366
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,4614.534995614699
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,721.809772929313
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15625.957254700463
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2270.9631678402475
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,1937.9700643440945
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,11566.480089711107
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,907.1595418453152
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11676.443684205384
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,642.8742824354737
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5813.723461477291
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,989.7222453327325
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2375.5704961537267
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7407.749837736622
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5414.96626922528
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,15491.951872826316
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2580.942030751531
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5059.320451840475
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,543.3266174908273
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,3861.933121241162
